;Column1.1;Column1.2;Column1.2.1;Column1.2.2;Column1.2.3;Column1.3.1;Column1.3.2;Column1.3.3;Column1.4.1;Column1.4.2;Column1.4.22;Column1.4.3;;;;
Image ret;0.001114;1.114;stereoCalib;0.028639;28.639000;colorDetect;0.013516;13.516000;udp;9.8e-05;0.098;0.043367;;;;
Image ret;0.000842;0.842;stereoCalib;0.029464;29.464000;colorDetect;0.014227;14.227000;udp;9.7e-05;0.097;0.04463;;;;
Image ret;0.000805;0.805;stereoCalib;0.027181;27.181000;colorDetect;0.013818;13.818000;udp;9e-05;0.09;0.041894;;;;
Image ret;0.00079;0.79;stereoCalib;0.028463;28.463000;colorDetect;0.013722;13.722000;udp;0.000121;0.121;0.043096;;;;
Image ret;0.000843;0.843;stereoCalib;0.028142;28.142000;colorDetect;0.013573;13.573000;udp;0.000122;0.122;0.04268;;;;
Image ret;0.000797;0.797;stereoCalib;0.029893;29.893000;colorDetect;0.012704;12.704000;udp;0.000104;0.104;0.043498;;;;
Image ret;0.001131;1.131;stereoCalib;0.033307;33.307000;colorDetect;0.013536;13.536000;udp;0.000121;0.121;0.048095;;;;
Image ret;0.000782;0.782;stereoCalib;0.027846;27.846000;colorDetect;0.012707;12.707000;udp;9.4e-05;0.094;0.041429;;;;
Image ret;0.000803;0.803;stereoCalib;0.029448;29.448000;colorDetect;0.013824;13.824000;udp;8.9e-05;0.089;0.044164;;;;
Image ret;0.000845;0.845;stereoCalib;0.029812;29.812000;colorDetect;0.012448;12.448000;udp;0.000114;0.114;0.043219;;;;
Image ret;0.00099;0.99;stereoCalib;0.02972;29.720000;colorDetect;0.013466;13.466000;udp;0.000117;0.117;0.044293;;;;
Image ret;0.001139;1.139;stereoCalib;0.051935;51.935000;colorDetect;0.028148;28.148000;udp;0.000142;0.142;0.081364;;;;
Image ret;0.001331;1.331;stereoCalib;0.054946;54.946000;colorDetect;0.014675;14.675000;udp;9.1e-05;0.091;0.071043;;;;
Image ret;0.00083;0.83;stereoCalib;0.031035;31.035000;colorDetect;0.012671;12.671000;udp;0.000108;0.108;0.044644;;;;
Image ret;0.001013;1.013;stereoCalib;0.0309;30.900000;colorDetect;0.013804;13.804000;udp;9e-05;0.09;0.045807;;;;
Image ret;0.000791;0.791;stereoCalib;0.028298;28.298000;colorDetect;0.012395;12.395000;udp;0.000101;0.101;0.041585;;;;
Image ret;0.001158;1.158;stereoCalib;0.029781;29.781000;colorDetect;0.013248;13.248000;udp;0.000101;0.101;0.044288;;;;
Image ret;0.000813;0.813;stereoCalib;0.027984;27.984000;colorDetect;0.014206;14.206000;udp;0.000128;0.128;0.043131;;;;
Image ret;0.000843;0.843;stereoCalib;0.028332;28.332000;colorDetect;0.0129;12.900000;udp;0.000111;0.111;0.042186;;;;
Image ret;0.00099;0.99;stereoCalib;0.030314;30.314000;colorDetect;0.013404;13.404000;udp;9.9e-05;0.099;0.044807;;;;
Image ret;0.0008;0.8;stereoCalib;0.029495;29.495000;colorDetect;0.012977;12.977000;udp;0.000119;0.119;0.043391;;;;
Image ret;0.000842;0.842;stereoCalib;0.031506;31.506000;colorDetect;0.012714;12.714000;udp;9.6e-05;0.096;0.045158;;;;
Image ret;0.000866;0.866;stereoCalib;0.033872;33.872000;colorDetect;0.012544;12.544000;udp;0.000103;0.103;0.047385;;;;
Image ret;0.000963;0.963;stereoCalib;0.031509;31.509000;colorDetect;0.012394;12.394000;udp;0.000106;0.106;0.044972;;;;
Image ret;0.000851;0.851;stereoCalib;0.028153;28.153000;colorDetect;0.013585;13.585000;udp;0.000121;0.121;0.04271;;;;
Image ret;0.001028;1.028;stereoCalib;0.027675;27.675000;colorDetect;0.014114;14.114000;udp;9.1e-05;0.091;0.042908;;;;
Image ret;0.000896;0.896;stereoCalib;0.028164;28.164000;colorDetect;0.012952;12.952000;udp;0.000302;0.302;0.042314;;;;
Image ret;0.00083;0.83;stereoCalib;0.029478;29.478000;colorDetect;0.013508;13.508000;udp;0.000253;0.253;0.044069;;;;
Image ret;0.000816;0.816;stereoCalib;0.029521;29.521000;colorDetect;0.013735;13.735000;udp;0.000112;0.112;0.044184;;;;
Image ret;0.000805;0.805;stereoCalib;0.029436;29.436000;colorDetect;0.013753;13.753000;udp;0.000117;0.117;0.044111;;;;
Image ret;0.000831;0.831;stereoCalib;0.029581;29.581000;colorDetect;0.013852;13.852000;udp;0.000107;0.107;0.044371;;;;
Image ret;0.001009;1.009;stereoCalib;0.030608;30.608000;colorDetect;0.013589;13.589000;udp;9e-05;0.09;0.045296;;;;
Image ret;0.001147;1.147;stereoCalib;0.05146;51.460000;colorDetect;0.02636;26.360000;udp;0.000158;0.158;0.079125;;;;
Image ret;0.001112;1.112;stereoCalib;0.054224;54.224000;colorDetect;0.027117;27.117000;udp;0.000156;0.156;0.082609;;;;
Image ret;0.001203;1.203;stereoCalib;0.052332;52.332000;colorDetect;0.027277;27.277000;udp;0.00014;0.14;0.080952;;;;
Image ret;0.001369;1.369;stereoCalib;0.056043;56.043000;colorDetect;0.027145;27.145000;udp;0.000139;0.139;0.084696;;;;
Image ret;0.001074;1.074;stereoCalib;0.034459;34.459000;colorDetect;0.013851;13.851000;udp;9.1e-05;0.091;0.049475;;;;
Image ret;0.000928;0.928;stereoCalib;0.027628;27.628000;colorDetect;0.012463;12.463000;udp;0.000105;0.105;0.041124;;;;
Image ret;0.000808;0.808;stereoCalib;0.029794;29.794000;colorDetect;0.013196;13.196000;udp;0.000129;0.129;0.043927;;;;
Image ret;0.000789;0.789;stereoCalib;0.027679;27.679000;colorDetect;0.015292;15.292000;udp;0.000134;0.134;0.043894;;;;
Image ret;0.000798;0.798;stereoCalib;0.029322;29.322000;colorDetect;0.012474;12.474000;udp;0.000105;0.105;0.042699;;;;
Image ret;0.000828;0.828;stereoCalib;0.029464;29.464000;colorDetect;0.013759;13.759000;udp;0.000133;0.133;0.044184;;;;
Image ret;0.000952;0.952;stereoCalib;0.028147;28.147000;colorDetect;0.014516;14.516000;udp;0.000122;0.122;0.043737;;;;
Image ret;0.000785;0.785;stereoCalib;0.028937;28.937000;colorDetect;0.013634;13.634000;udp;8.8e-05;0.088;0.043444;;;;
Image ret;0.000853;0.853;stereoCalib;0.030058;30.058000;colorDetect;0.01374;13.740000;udp;0.000117;0.117;0.044768;;;;
Image ret;0.000797;0.797;stereoCalib;0.030272;30.272000;colorDetect;0.012675;12.675000;udp;9.3e-05;0.093;0.043837;;;;
Image ret;0.0008;0.8;stereoCalib;0.030201;30.201000;colorDetect;0.013493;13.493000;udp;8.8e-05;0.088;0.044582;;;;
Image ret;0.00094;0.94;stereoCalib;0.028998;28.998000;colorDetect;0.012478;12.478000;udp;0.000109;0.109;0.042525;;;;
Image ret;0.00087;0.87;stereoCalib;0.029738;29.738000;colorDetect;0.013967;13.967000;udp;9e-05;0.09;0.044665;;;;
Image ret;0.000804;0.804;stereoCalib;0.02799;27.990000;colorDetect;0.012561;12.561000;udp;0.000107;0.107;0.041462;;;;
Image ret;0.000795;0.795;stereoCalib;0.029352;29.352000;colorDetect;0.012804;12.804000;udp;0.000103;0.103;0.043054;;;;
Image ret;0.000864;0.864;stereoCalib;0.027908;27.908000;colorDetect;0.013661;13.661000;udp;9.4e-05;0.094;0.042527;;;;
Image ret;0.000962;0.962;stereoCalib;0.03036;30.360000;colorDetect;0.013544;13.544000;udp;9.1e-05;0.091;0.044957;;;;
Image ret;0.001168;1.168;stereoCalib;0.053092;53.092000;colorDetect;0.026591;26.591000;udp;0.000151;0.151;0.081002;;;;
Image ret;0.00113;1.13;stereoCalib;0.054462;54.462000;colorDetect;0.01353;13.530000;udp;9.1e-05;0.091;0.069213;;;;
Image ret;0.000936;0.936;stereoCalib;0.030474;30.474000;colorDetect;0.012455;12.455000;udp;0.000123;0.123;0.043988;;;;
Image ret;0.000809;0.809;stereoCalib;0.028524;28.524000;colorDetect;0.012793;12.793000;udp;0.000103;0.103;0.042229;;;;
Image ret;0.00082;0.82;stereoCalib;0.029556;29.556000;colorDetect;0.013064;13.064000;udp;9e-05;0.09;0.04353;;;;
Image ret;0.000796;0.796;stereoCalib;0.027964;27.964000;colorDetect;0.014213;14.213000;udp;9.6e-05;0.096;0.043069;;;;
Image ret;0.000844;0.844;stereoCalib;0.028248;28.248000;colorDetect;0.013658;13.658000;udp;8.9e-05;0.089;0.042839;;;;
Image ret;0.00091;0.91;stereoCalib;0.028096;28.096000;colorDetect;0.012392;12.392000;udp;0.000126;0.126;0.041524;;;;
Image ret;0.000801;0.801;stereoCalib;0.029837;29.837000;colorDetect;0.013261;13.261000;udp;0.000103;0.103;0.044002;;;;
Image ret;0.000805;0.805;stereoCalib;0.029602;29.602000;colorDetect;0.014098;14.098000;udp;9.7e-05;0.097;0.044602;;;;
Image ret;0.0009;0.9;stereoCalib;0.027244;27.244000;colorDetect;0.013473;13.473000;udp;0.0001;0.1;0.041717;;;;
Image ret;0.000784;0.784;stereoCalib;0.028211;28.211000;colorDetect;0.012458;12.458000;udp;0.000107;0.107;0.04156;;;;
Image ret;0.000964;0.964;stereoCalib;0.027984;27.984000;colorDetect;0.014129;14.129000;udp;0.000119;0.119;0.043196;;;;
Image ret;0.000776;0.776;stereoCalib;0.028455;28.455000;colorDetect;0.013853;13.853000;udp;9.1e-05;0.091;0.043175;;;;
Image ret;0.000806;0.806;stereoCalib;0.028051;28.051000;colorDetect;0.012478;12.478000;udp;0.000115;0.115;0.04145;;;;
Image ret;0.000799;0.799;stereoCalib;0.029695;29.695000;colorDetect;0.012751;12.751000;udp;0.000103;0.103;0.043348;;;;
Image ret;0.000836;0.836;stereoCalib;0.027441;27.441000;colorDetect;0.013519;13.519000;udp;9.2e-05;0.092;0.041888;;;;
Image ret;0.00084;0.84;stereoCalib;0.029612;29.612000;colorDetect;0.012454;12.454000;udp;0.000117;0.117;0.043023;;;;
Image ret;0.000834;0.834;stereoCalib;0.030276;30.276000;colorDetect;0.013464;13.464000;udp;0.0001;0.1;0.044674;;;;
Image ret;0.00079;0.79;stereoCalib;0.028096;28.096000;colorDetect;0.014162;14.162000;udp;0.000118;0.118;0.043166;;;;
Image ret;0.000801;0.801;stereoCalib;0.028969;28.969000;colorDetect;0.014117;14.117000;udp;9.5e-05;0.095;0.043982;;;;
Image ret;0.000993;0.993;stereoCalib;0.030225;30.225000;colorDetect;0.012471;12.471000;udp;0.000105;0.105;0.043794;;;;
Image ret;0.000802;0.802;stereoCalib;0.029647;29.647000;colorDetect;0.012749;12.749000;udp;0.0001;0.1;0.043298;;;;
Image ret;0.000845;0.845;stereoCalib;0.027442;27.442000;colorDetect;0.01514;15.140000;udp;0.000118;0.118;0.043545;;;;
Image ret;0.000791;0.791;stereoCalib;0.026516;26.516000;colorDetect;0.014522;14.522000;udp;8.5e-05;0.085;0.041914;;;;
Image ret;0.00086;0.86;stereoCalib;0.027048;27.048000;colorDetect;0.012557;12.557000;udp;9.8e-05;0.098;0.040563;;;;
Image ret;0.000922;0.922;stereoCalib;0.028597;28.597000;colorDetect;0.012712;12.712000;udp;9.9e-05;0.099;0.04233;;;;
Image ret;0.000843;0.843;stereoCalib;0.029578;29.578000;colorDetect;0.012582;12.582000;udp;0.000122;0.122;0.043125;;;;
Image ret;0.000893;0.893;stereoCalib;0.02696;26.960000;colorDetect;0.014975;14.975000;udp;9e-05;0.09;0.042918;;;;
Image ret;0.000851;0.851;stereoCalib;0.02693;26.930000;colorDetect;0.013628;13.628000;udp;9e-05;0.09;0.041499;;;;
Image ret;0.000945;0.945;stereoCalib;0.028265;28.265000;colorDetect;0.013729;13.729000;udp;0.00013;0.13;0.043069;;;;
